Feature,Coefficient,Abs_Coef
tenure,-1.2499699741889025,1.2499699741889025
MonthlyCharges,-0.7658644287884442,0.7658644287884442
InternetService_Fiber optic,0.6813254694803091,0.6813254694803091
InternetService_No,-0.673337518190542,0.673337518190542
Contract_Two year,-0.6368919697813661,0.6368919697813661
TotalCharges,0.6081310502901301,0.6081310502901301
Contract_One year,-0.326678132084067,0.326678132084067
StreamingTV,0.2126409200702379,0.2126409200702379
StreamingMovies,0.20636873128542288,0.20636873128542288
PaymentMethod_Electronic check,0.1947250003156106,0.1947250003156106
MultipleLines,0.18248702913530515,0.18248702913530515
OnlineSecurity,-0.12968904974565337,0.12968904974565337
PaperlessBilling,0.12458025112824937,0.12458025112824937
TechSupport,-0.11118862169384446,0.11118862169384446
Dependents,-0.1038546567532245,0.1038546567532245
